QueryId,DocumentId
697,19483
697,18271
697,15701
697,19776
697,15735
219,3861
219,4200
219,14947
219,11914
219,4264
243,1396
243,7643
243,9911
243,5890
243,17169
512,12930
512,3670
512,22637
512,11678
512,12282
432,7478
432,8079
432,12930
432,16822
432,11757
144,19813
144,14686
144,6667
144,20356
144,22726
594,6507
594,21886
594,22695
594,10777
594,14607
4,14140
4,19789
4,12822
4,16732
4,7526
45,782
45,1950
45,8038
45,52
45,420
70,21494
70,22164
70,7408
70,16915
70,20027
336,3655
336,340
336,13899
336,46
336,9631
451,17902
451,12438
451,1674
451,21742
451,3108
273,18630
273,13989
273,16245
273,16006
273,6105
533,10018
533,4349
533,21090
533,15201
533,15165
367,5514
367,11774
367,7355
367,5527
367,20279
12,1742
12,19
12,12
12,184
12,3906
240,4604
240,3736
240,14214
240,21418
240,13258
695,12826
695,20990
695,21918
695,3958
695,8924
81,4364
81,6651
81,1750
81,1639
81,3854
470,11805
470,17035
470,14476
470,4816
470,2030
679,20398
679,10830
679,19551
679,16095
679,20075
674,1101
674,22521
674,15209
674,17227
674,11063
283,14554
283,20543
283,12200
283,552
283,12030
643,3336
643,22372
643,21037
643,8942
643,8210
410,13266
410,8289
410,15441
410,9119
410,19950
235,7426
235,2374
235,4827
235,4848
235,15851
35,2479
35,9294
35,19990
35,3963
35,3383
311,10456
311,1164
311,16984
311,7474
311,2022
315,11074
315,10345
315,13542
315,3743
315,22611
116,4951
116,5437
116,10502
116,7598
116,4628
531,16565
531,16473
531,17182
531,19146
531,20353
623,21298
623,17124
623,22545
623,6427
623,7676
359,2184
359,4996
359,1227
359,19154
359,2141
576,18092
576,6471
576,9692
576,14551
576,18099
593,1951
593,21144
593,20268
593,7744
593,22234
183,10289
183,10961
183,15341
183,8531
183,11544
617,15868
617,15970
617,22992
617,18754
617,20024
554,13213
554,22972
554,19546
554,2344
554,19743
11,745
11,1582
11,5599
11,6910
11,19973
453,22304
453,8800
453,21069
453,11081
453,22753
510,566
510,21040
510,12337
510,1577
510,9345
13,4438
13,11273
13,10550
13,2305
13,5303
31,1748
31,1724
31,5960
31,1395
31,4757
396,12123
396,16903
396,5484
396,17094
396,6150
651,11110
651,6929
651,21718
651,20766
651,7337
226,12
226,9942
226,6324
226,19308
226,1836
582,20876
582,5223
582,7375
582,8354
582,9115
675,14638
675,3925
675,15534
675,16876
675,16650
501,22311
501,12260
501,12251
501,7093
501,7902
234,8709
234,6792
234,15102
234,12871
234,16183
27,169
27,18412
27,10509
27,21923
27,8889
