QueryId,DocumentId
412,10266
412,12414
412,25994
412,28656
412,33515
2,4964
2,5577
2,10629
2,5407
2,33278
253,9443
253,9566
253,13162
253,2521
253,23230
699,510
699,17888
699,20793
699,18124
699,19549
1349,33492
1349,12057
1349,37929
1349,9645
1349,39012
1094,42085
1094,7664
1094,41283
1094,15513
1094,16173
1076,37328
1076,20795
1076,20877
1076,33544
1076,20938
167,38650
167,31636
167,7702
167,4488
167,23648
1544,28213
1544,36341
1544,37470
1544,30824
1544,6758
237,15948
237,15532
237,15644
237,17067
237,15594
159,16576
159,18335
159,4427
159,14033
159,31440
467,10727
467,9259
467,37692
467,24587
467,9192
138,4064
138,40135
138,19967
138,3868
138,17616
1215,33514
1215,38953
1215,37729
1215,34822
1215,43953
855,23583
855,40272
855,18178
855,15126
855,21132
1373,35307
1373,11894
1373,8127
1373,27881
1373,12922
1543,38802
1543,12471
1543,40411
1543,17722
1543,9574
356,44256
356,9874
356,34256
356,10730
356,10766
400,9325
400,10264
400,31583
400,11814
400,41060
216,15589
216,19507
216,41633
216,27481
216,2202
971,15453
971,6769
971,29201
971,15775
971,23058
652,18420
652,18770
652,17884
652,18162
652,17558
1538,38188
1538,24974
1538,35795
1538,14440
1538,744
1264,34222
1264,37902
1264,34285
1264,34237
1264,30528
1091,28025
1091,44334
1091,26719
1091,39714
1091,43971
1235,19784
1235,18963
1235,34839
1235,18275
1235,17926
1255,34223
1255,35038
1255,35285
1255,28858
1255,34231
1423,36949
1423,33716
1423,34466
1423,35571
1423,36989
974,11621
974,10159
974,10516
974,37579
974,9450
1587,26477
1587,24653
1587,43979
1587,35728
1587,20339
438,43898
438,35859
438,45052
438,5807
438,14690
704,21792
704,17103
704,22264
704,18675
704,17426
594,39180
594,42327
594,36438
594,45175
594,18383
